paper_id,title,authors
16,DeepOryza: A Knowledge guided machine learning model for rice growth simulation,"Jingye Han, Liangsheng Shi, Christos Pylianidis, Qi Yang, Ioannis N. Athanasiadis"
3,Quality Control in Weather Monitoring with Dynamic Linear Models,"Joel Janek Dabrowski, Ashfaqur Rahman, Ming Li, Quanxi Shao, Shuvo Bakar, Andrea Powell, Brent Henderson"
6,Farm-gym: A modular reinforcement learning platform for stochastic agronomic games,"Odalric-Ambrym Maillard, Timothée Mathieu, Debabrota Basu"
8,Learning Crop Management by Reinforcement: gym-DSSAT,"romain gautron, Emilio J. Padrón, Philippe Preux, julien bigot, Odalric-Ambrym Maillard, Gerrit Hoogenboom, julien teigny"
12,Tomato-plant Sunlit-leaf Segmentation Using Convolutional Neural Networks: Supporting Crop Water Stress Index Measurements,"Jacob Hampton, Aris Athanasios Panagopoulos, Minas Pantelidakis, Eric Kor, Konstantinos Mykoniatis, Orestis P. Panagopoulos, Shawn Ashkan"
13,A New Dataset and Comparative Study for Aphid Cluster Detection,"Tianxiao Zhang, Kaidong Li, Xiangyu Chen, Cuncong Zhong, Bo Luo, Ivan Grijalva Teran, Brian McCornack, Daniel Flippo, Ajay Sharda, Guanghui Wang"
14,Hybrid Deep Learning Models with Multi-tasking: A Case Study on Rice Yield Prediction Using Remote Sensing Data,"Jason Lin, Che-Hao Chang, Min-Hsin Lai, Yu-Shun Huang, Jia-Wei Chang"
17,Transfer Learning with Pairwise Comparison for Fine-Granular Fruit Shelf-Life Prediction,"Jayita Dutta, Manasi Patwardhan, Parijat Deshpande, Beena Rai"
19,LiT Tuned Models for Efficient Species Detection,"Andre Nakkab, Benjamin Feuer, Chinmay Hegde"
20,Zero-Shot Insect Detection via Weak Language Supervision,"Benjamin Feuer, Ameya Joshi, Minsu Cho, Kewal Jani, Shivani Chiranjeevi, ZI Kang Deng, Aditya Balu, Asheesh K Singh, Soumik Sarkar, Nirav Merchant, Arti Singh, Baskar Ganapathysubramanian, Chinmay Hegde"
23,Towards Autonomous Apple Fruitlet Sizing with Next Best View Planning,"Harry Freeman, George Kantor"
25,Data driven ensemble learning for soybean yield prediction,"Souradeep Chattopadhyay, Matthew Carroll, Baskar Ganapathysubramanian, Asheesh K Singh, Soumik Sarkar"
30,Exploiting Unlabeled Data to Improve Detection of Visual Anomalies in Soft Fruits,"Taeyeong Choi, Xin Liu"
