paper_id,title,authors
29,Persistence Homology to Study Cold Hardiness of Grape Cultivars,"Sejal Welankar, Paola Gabriela Pesantez, Bala Krishnamoorthy, Ananth Kalyanaraman"
24,2-D HISTOGRAM BASED ON RELATIVE ENTROPY THRESHOLDING FOR CROP SEGMENTATION USING UAV-BASED IMAGES,"Gattu Priyanka, P Rajalakshmi, Jana Kholova"
21,Multi Task Learning for Budbreak Prediction,"Aseem Saxena, Paola Gabriela Pesantez, Rohan Ballapragada, Markus Keller, Alan Fern"
18,Univariate and multivariate time-series methods to forecast dairy income,"Vahid Naghashi, Gabriel Machado Dallago, Abdoulaye Banire Diallo, Mounir Boukadoum"
10,Semi-Automated Construction of Food Composition Knowledge Base,"Jason Youn, Fangzhou Li, Ilias Tagkopoulos"
5,Dual phase convolutional neural network based system aimed at small rice grain dataset for disease identification,"Tashin Ahmed, Chowdhury Rafeed Rahman, Md. Faysal Mahmud Abid"
31,Optimized Class-specific Data Augmentation for Plant Stress Classification,"Nasla Saleem, Baskar Ganapathysubramanian, Aditya Balu, Talukder Zaki Jubery, Soumik Sarkar, Arti Singh, Asheesh K Singh"
7,Soft Robotic End-Effectors in the Wild: A Case Study of a Soft Manipulator for Green Bell Pepper Harvesting,"Dominik Bauer, Cornelia Bauer, Nancy Pollard"
2,Semi-Supervised Object Detection for Agriculture,"Gabriel Tseng, Krisztina Sinkovics, Tom Watsham, David Rolnick, Thomas C. Walters"
32,Plant Geometry Reconstruction From Field Data Using Neural Radiance Fields,"Anushrut Jignasu, Ethan Herron, Talukder Zaki Jubery, James Afful, Aditya Balu, Baskar Ganapathysubramanian, Soumik Sarkar, Adarsh Krishnamurthy"
28,Out-of-distribution algorithms for robust insect classification,"Mojdeh Saadati, Shivani Chiranjeevi, Aditya Balu, Talukder Zaki Jubery, Asheesh K Singh, Soumik Sarkar, Arti Singh, Baskar Ganapathysubramanian"
15,A Reflection on AI Model Selection for Digital Agriculture Image Datasets,"Seth Ockerman, John Wu, Christopher Stewart, Zitchen Zhang"
27,Intelligent Drought Stress Monitoring on Spatio-Spectral-Temporal Drone based Crop Imagery using Deep Networks,"Tejasri N, Rajalakshmi Pachamuthu, Balaji Naik, Uday B Desai"
22,Constrained Reinforcement Learning for Autonomous Farming: Challenges and Opportunities,"Yongshuai Liu, Taeyeong Choi, Xin Liu"
